INFO 2024-12-19 03:18:30,174 autoreload Watching for file changes with StatReloader
INFO 2024-12-19 03:18:42,989 basehttp "GET /api/common/config/ HTTP/1.1" 200 5344
INFO 2024-12-19 03:18:44,317 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2024-12-19 03:18:44,321 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2024-12-19 03:18:44,322 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2024-12-19 03:18:44,324 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2024-12-19 03:18:44,325 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2024-12-19 03:18:44,328 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2024-12-19 03:18:44,342 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2024-12-19 03:18:44,358 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2024-12-19 03:18:44,376 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2024-12-19 03:18:44,386 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2024-12-19 03:18:44,395 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2024-12-19 03:18:44,494 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
